date,volume,area,solar_exposure,rainfall,max_temperature,min_temperature,humidity,wind_speed
199001,191934441438.61,142230208.33,22.1,22.8,23.81,9.7,37,1.64
199002,186337780373.32,141764479.17,19.4,83.3,23.82,9.71,40,1.26
199003,180741119308.03,141298750,16.3,17.6,23.84,9.71,42,1.39
199004,181468639586.96,141408875,10.2,159.2,23.85,9.72,46,1.39
199005,182196159865.89,141519000,9.1,69.6,23.86,9.72,54,0.94
199006,182923680144.82,141629125,7.6,19.6,23.88,9.72,60,1.2
199007,183651200423.75,141739250,7.9,61.7,23.89,9.73,58,1.45
199008,184378720702.68,141849375,10,82.6,23.9,9.73,52,1.7
199009,211144935249.52,143894375,15.6,23.6,23.91,9.74,49,1.32
199010,210875262098.08,143877500,20.9,62.4,23.93,9.74,47,1.45
199011,201554986856.91,143300937.5,28.1,17.6,23.94,9.75,41,1.45
199012,192234711615.75,142724375,27.8,30.8,23.95,9.75,37,1.64
199101,201410162386.7,143291875,25.5,64.3,23.96,9.75,37,1.57
199102,210585613157.65,143859375,23.4,26.4,23.98,9.76,40,1.39
199103,186808489216.27,142159375,21.6,27.2,23.99,9.76,42,1.32
199104,168528342749.93,139055625,15,28,24,9.77,46,1.07
199105,180458444396.9,140345156.25,10.8,29.9,24.01,9.77,54,0.82
199106,192388546043.87,141634687.5,6.3,121.8,24.03,9.78,60,1.26
199107,204318647690.83,142924218.75,8.8,128.4,24.04,9.78,58,1.2
199108,216248749337.8,144213750,11.4,104.3,24.05,9.78,52,1.89
199109,216448507227.75,144226250,15.5,67.4,24.06,9.79,49,1.7
199110,208488155313.15,143728125,22.9,18,24.08,9.79,47,1.32
199111,200527803398.55,143230000,25.9,35.6,24.09,9.8,41,1.51
199112,217137671948.09,144269375,23,46.5,24.1,9.8,37,1.7
199201,210256012639.23,143838750,26.1,150,26.9,15.8,37,1.39
199202,210076230538.27,143827500,18.8,58.3,24.6,15.4,40,1.39
199203,209896448437.31,143816250,17.8,38,22.7,10.5,42,1.01
199204,208268421634.2,143714375,12.9,32.7,19.5,7,46,1.07
199205,194016975278.52,142831875,10,30.4,17,3.7,54,0.82
199206,121370736407.95,129574375,7.9,39.9,14,0.7,60,0.94
199207,181342387135.28,141407500,9.1,14.2,13.8,1.4,58,1.13
199208,179190812505.38,141015937.5,11.6,87,13.9,1,52,1.45
199209,177039237875.49,140624375,14.4,86.5,15.6,3.6,49,1.39
199210,174887663245.59,140232812.5,17.4,74.4,18.9,8.3,47,1.45
199211,172736088615.7,139841250,21.3,91.4,19.9,9.4,41,1.32
199212,171868167430.69,139471145.83,23.1,76.8,22.7,12.3,37,1.32
199301,171000246245.68,139101041.67,23.7,105.8,26.7,13.8,37,1.26
199302,170132325060.67,138730937.5,20.8,30,24.5,12.3,40,1.45
199303,173481989449.61,139553125,16.1,109,20.5,9.9,42,1.26
199304,176831653838.56,140375312.5,14.1,12.2,20.4,4.7,46,1.01
199305,180181318227.5,141197500,10.5,19.8,16.6,0.8,54,0.82
199306,170478647432.7,139310833.33,8.5,21.2,12,-1.1,60,1.07
199307,160775976637.9,137424166.67,8,130,13,1,58,0.88
199308,151073305843.09,135537500,10.4,19.6,14,0,52,1.2
199309,136740765191.43,132614375,14.3,91.6,15.7,3.2,49,1.39
199310,210300958164.47,143841562.5,20,64.6,17.5,5.5,47,1.39
199311,166091653699.64,136719062.5,23.9,96.6,21.1,6.3,41,1.32
199312,176124306122.97,139397656.25,22.4,21,24.1,10.7,37,1.64
199401,186156958546.29,142076250,28.1,34.9,28,9.8,37,1.64
199402,180754941556.94,141301250,20,84.8,27.1,12.4,40,1.39
199403,180119118107.44,141186250,17,26.8,19.9,7.4,42,1.13
199404,179483294657.94,141071250,12.3,95.6,19.4,5.3,46,1.13
199405,177181890215.74,140655000,9.7,5.2,14.1,2.7,54,1.2
199406,176245432852.63,140485625,7.2,38.4,11.1,0.1,60,1.01
199407,175308975489.51,140316250,10.1,0,12.4,-3.2,58,1.01
199408,156281695344.12,136528750,14.7,16.8,13.1,-2.5,52,1.13
199409,170510033722.51,139425625,17.6,3.6,16.5,-0.7,49,1.64
199410,167093482666.36,138772812.5,20.1,51.3,19,3.7,47,1.57
199411,163676931610.21,138120000,21.9,65.4,22.4,8.4,41,2.02
199412,160941255668,137581875,27.6,57.2,26.5,11.1,37,1.64
199501,148767329794.25,135105625,21.2,220.8,26.7,13.3,37,1.64
199502,144090640087.18,134158125,23.8,12.9,25.5,10.8,40,1.39
199503,139413950380.11,133210625,18.2,54.07,21.4,8.9,42,1.51
199504,134737260673.04,132263125,15,95.23,18.1,3.7,46,1.32
199505,130060570965.97,131315625,7.6,136.4,15.4,7.5,54,1.13
199506,125383881258.9,130368125,6.4,6.5,11.7,2.9,60,1.39
199507,122966514478.6,129890000,8.4,9.85,10.3,-0.2,58,1.39
199508,120549147698.3,129411875,14,13.2,15.9,0.8,52,1.2
199509,118131780918.01,128933750,14.4,34.9,15,3.6,49,1.26
199510,119032368542.04,129111875,19.2,94.7,17.8,7,47,1.39
199511,118876477350.98,129081041.67,19.9,81,20.7,9.4,41,1.64
199512,118720586159.92,129050208.33,27.6,75.8,21.8,9.4,37,1.51
199601,118564694968.86,129019375,22.8,85.8,23.2,12.5,37,1.45
199602,122019790781.74,129705267.86,22.2,22.4,21.9,8.7,40,1.57
199603,125474886594.61,130391160.71,19.1,19.6,22.8,8.9,42,1.26
199604,128929982407.49,131077053.57,13.3,0,17.9,4.6,46,1.07
199605,132385078220.37,131762946.43,9.8,56.6,16,4.3,54,1.01
199606,135840174033.25,132448839.29,8,30.2,12.9,1.6,60,1.07
199607,139295269846.13,133134732.14,7.8,89.5,10.8,0.1,58,1.13
199608,142750365659.01,133820625,11.7,33.1,12.4,1.9,52,1.39
199609,111092407586.77,126485625,17.7,112,15.3,3.8,49,1.83
199610,158782264027.19,137157187.5,21,52.6,18.2,6.8,47,1.32
199611,141868742180.95,133641250,24.2,80,19.2,6.4,41,1.64
199612,138573540005.25,132976875,25.3,74.9,23.2,9,37,1.51
199701,123285532730.41,129792187.5,24.7,51.9,23.8,9,37,1.51
199702,107997525455.56,126607500,23.7,23.3,26.8,13.2,40,1.32
199703,96888373531.28,121209062.5,18.7,32.2,22.6,9.8,42,1.32
199704,85779221606.99,115810625,16,0,21.8,4.6,46,1.13
199705,73493457338.1,109368125,9.7,40,15.9,4,54,1.01
199706,86031569289.16,114532187.5,8.5,133.1,12.9,-1.5,60,0.94
199707,98569681240.22,119696250,10.2,0,11.6,-0.6,58,0.94
199708,111107793191.28,124860312.5,14.1,36.8,13.3,-0.6,52,1.26
199709,123645905142.34,130024375,13.8,89.5,14.8,4,49,1.2
199710,99624912667.36,120299062.5,23.6,32.3,19.6,5,47,1.45
199711,75603920192.38,110573750,24.6,9.3,25,8.8,41,1.51
199712,65853162961.87,104764687.5,28.2,16.9,27.9,11.6,37,1.7
199801,53618149370.32,95977812.5,22.3,41.2,26.7,13,37,1.57
199802,41383135778.78,87190937.5,25.1,21.8,28.2,12,40,1.51
199803,29827192995.62,76695000,20.4,2.8,27.1,10.3,42,1.39
199804,29797911387.03,76662343.75,13.4,58.8,20.1,7.6,46,1.13
199805,29768629778.44,76629687.5,9.1,36.9,15,5.4,54,1.07
199806,29739348169.85,76597031.25,7.6,93,12,2.4,60,1.2
199807,29710066561.26,76564375,8.4,78.8,11,0.2,58,1.2
199808,55157904500.1,94856562.5,10.3,118.5,12.3,3.7,52,1.13
199809,80605742438.95,113148750,16.1,90.15,16.4,5.7,49,1.32
199810,77626041946.06,111615625,20.4,61.8,17.6,5.1,47,1.39
199811,78407712254.73,112017812.5,22.7,92.7,18.7,7.4,41,1.32
199812,79189382563.41,112420000,27.6,16,24.9,11,37,1.39
199901,71409252186.52,108177500,23.6,96,27.6,13.5,37,1.39
199902,62137779474.68,102580833.33,23.3,14,24.2,11.6,40,1.51
199903,52866306762.83,96984166.67,17.4,18.27,23.6,11,42,1.26
199904,43594834050.98,91387500,13.7,22.53,18.1,4.6,46,1.01
199905,44469634081.59,91980833.33,10.8,26.8,17.2,2.4,54,0.94
199906,45344434112.21,92574166.67,8.3,30.5,12.7,0.1,60,1.07
199907,46219234142.82,93167500,9.5,22.4,12.6,0.5,58,1.13
199908,43434847126.29,90966562.5,12.9,45,14.1,-1.1,52,1.01
199909,40650460109.76,88765625,15.9,62.6,17.5,3.5,49,1.32
199910,39585954549.6,87578437.5,17,104.4,18.6,7.1,47,1.13
199911,38521448989.45,86391250,24,39.1,18.4,5,41,1.39
199912,37331971205.07,85064687.5,24.4,32.95,22.4,9.7,37,1.51
200001,36142493420.68,83738125,26.6,26.8,22.4,8.9,37,1.57
200002,25285164301.55,60168645.83,22.6,0,27.3,11.7,40,1.39
200003,14427835182.42,36599166.67,16,64.7,23.8,12.1,42,1.2
200004,3570506063.28,13029687.5,13.3,46.8,18.3,5.3,46,1.01
200005,6406721019.18,10588750,9.5,40.2,14.4,2.3,54,1.13
200006,8010684861.57,20279218.75,8.7,33.6,12.2,-1.2,60,1.07
200007,9614648703.97,29969687.5,8.9,31.6,11.6,-0.5,58,1.01
200008,11218612546.37,39660156.25,11.8,51.8,12.6,0.2,52,1.13
200009,12822576388.76,49350625,16.3,91.4,16.8,3.9,49,1.45
200010,12293540129.19,44395520.83,18.9,67,17.8,5.3,47,1.39
200011,11764503869.62,39440416.67,18.7,99.6,20,9.9,41,1.26
200012,11235467610.05,34485312.5,29.6,26.6,25.3,9.8,37,1.39
200101,8503599150.77,25879765.62,23.9,60.6,27.2,11.8,37,1.45
200102,5771730691.49,17274218.75,21,103,25.8,12.2,40,1.32
200103,3039862232.22,8668671.88,17.5,45.4,21.8,8.9,42,1.39
200104,307993772.94,63125,13.8,9.6,20.2,5.4,46,1.07
200105,232774171.63,47708.33,10.7,1.4,15.5,1,54,0.82
200106,157554570.31,32291.67,8.7,33.6,14.2,0.1,60,0.94
200107,82334969,16875,8.8,39.6,12,1.6,58,0.88
200108,295795999.75,60625,12.6,80.4,12.9,1.3,52,1.45
200109,4337250823.79,20304687.5,16.9,66.2,17.5,4.4,49,1.13
200110,8378705647.83,40548750,21.8,48.4,17.8,4,47,1.39
200111,7086526938.05,31327500,24.4,42.4,20.7,6.7,41,1.45
200112,8943295519.23,36670625,26.8,10,24.3,9.4,37,1.51
200201,10800064100.41,42013750,27.7,34,26,11.4,37,1.64
200202,12656832681.59,47356875,20,170.8,21.2,12.4,40,1.39
200203,14513601262.77,52700000,19.5,24.2,23,9.3,42,1.2
200204,6833100405.09,23596250,14.2,10.8,20.7,7.9,46,0.88
200205,6764046284.48,21489625,9.9,33.6,15.4,2.3,54,0.94
200206,6694992163.87,19383000,9.1,47.2,13,1.6,60,1.13
200207,6625938043.26,17276375,10.1,19.8,12.6,-1.1,58,1.07
200208,6556883922.65,15169750,13.9,33.2,14.6,-0.8,52,1.07
200209,6487829802.04,13063125,17.6,51.2,17.7,2,49,1.57
200210,45741649.45,9375,22.1,19.2,20.9,4.7,47,1.57
200211,3049443.3,625,25,8.8,25.2,9,41,1.51
200212,247004907.01,50625,27.3,35.2,25.8,10.5,37,1.64
200301,490960370.72,100625,27.9,12.8,28.3,11.8,37,1.7
200302,1372249483.39,281250,22.1,87.2,26.2,13.4,40,1.64
200303,1507034877.09,308875,19.3,50.6,21,9.8,42,1.32
200304,1641820270.79,336500,12.6,27.6,17.6,6.5,46,1.07
200305,1776605664.49,364125,10.3,17.2,15.4,4.9,54,1.01
200306,1911391058.19,391750,8.3,52.8,12.9,1.7,60,1.13
200307,2046176451.89,419375,9.2,40.8,11.5,0.6,58,1.13
200308,7102240612.32,31806875,11.5,90.2,12.8,0,52,1.32
200309,11926746475.93,42073437.5,18.7,40,15.9,2.5,49,1.57
200310,16751252339.54,52340000,19.9,91.6,16.9,4.2,47,1.32
200311,21575758203.16,62606562.5,24.5,64.2,21.3,7.3,41,1.32
200312,26400264066.77,72873125,26.4,70.6,24.7,11.3,37,1.39
200401,22629669041.03,62462857.14,26.3,36.9,27.5,11.7,37,1.45
200402,18859074015.29,52052589.29,22.7,23.9,28,12.9,40,1.45
200403,15088478989.55,41642321.43,20.4,13.2,24.5,9.7,42,1.2
200404,11317883963.81,31232053.57,14.2,8.8,20.9,6.9,46,1.07
200405,7547288938.07,20821785.71,10.9,5.2,16.5,1.4,54,1.01
200406,3776693912.33,10411517.86,8.6,14.6,13.3,0.7,60,1.26
200407,6098886.59,1250,8.7,16,12.2,-0.4,58,0.94
200408,42692206.15,8750,12.5,62,14.2,1.9,52,1.26
200409,1906271424.24,462812.5,17,31.6,17.1,3.1,49,1.13
200410,3769850642.33,916875,20.5,67.4,19.4,6.6,47,1.39
200411,3461995581.62,1034218.75,25.2,84.4,22,8.1,41,1.45
200412,3154140520.91,1151562.5,26.7,60.6,23.4,10.6,37,1.45
200501,51840536.04,10625,25.9,47.2,26.9,11.4,37,1.51
200502,27444989.67,5625,21.4,60.2,24.6,11.3,40,1.39
200503,3049443.3,625,19.8,45.4,22.5,8.6,42,1.2
200504,696123993.07,2667375,15.3,14.8,22.3,7.3,46,1.01
200505,1389198542.84,5334125,11.1,0.8,16.8,2.1,54,0.82
200506,2082273092.61,8000875,7.2,60,13.8,1,60,1.13
200507,2775347642.39,10667625,9,86.8,13,0.5,58,1.01
200508,3468422192.16,13334375,13.5,51.8,14.2,-0.5,52,1.26
200509,4161496741.93,16001125,15.1,108.8,16.1,4.1,49,1.13
200510,4854571291.71,18667875,19.6,94,19.5,7.1,47,1.2
200511,5547645841.48,21334625,25.2,79.2,21.1,9.5,41,1.39
200512,6240720391.25,24001375,25.2,43,27.4,8.8,37,1.45
200601,6933794941.02,26668125,22.6,92.4,27.6,14,37,1.45
200602,6524932102.05,14195000,26.1,18.8,27.7,12.1,40,1.32
200603,5614819370.12,11865520.83,19.7,41,24.8,10.6,42,1.26
200604,4704706638.18,9536041.67,15.3,16.6,19.4,3,46,1.2
200605,3794593906.25,7206562.5,10.1,15.6,15.5,1.6,54,0.94
200606,2884481174.32,4877083.33,7.7,83,11.7,-0.4,60,0.88
200607,1974368442.38,2547604.17,8.6,39.2,12.1,1.2,58,1.01
200608,1064255710.45,218125,13.4,15.4,14.6,-0.9,52,0.88
200609,240906020.42,49375,18.3,17.2,18.2,3.3,49,1.32
200610,359834308.98,73750,24.7,5.6,22.2,3.9,47,1.51
200611,478762597.54,98125,25.5,12.5,23.9,7.8,41,1.57
200612,597690886.1,122500,24.9,19.4,25,9.9,37,1.7
200701,1367675318.44,280312.5,28.1,10.4,28.4,12,37,1.64
200702,2137659750.79,438125,21.7,56.4,25.4,12.9,40,1.51
200703,6152167690.81,2823125,18.2,47,22.7,11.2,42,1.39
200704,18296659.78,3750,13.5,28,19.3,6.6,46,1.07
200705,3086520637.19,12077343.75,10.2,43.6,17.6,4.3,54,1.01
200706,6154744614.6,24150937.5,7.3,122.2,10.9,1.1,60,1.2
200707,9222968592.01,36224531.25,9.5,19.2,11.2,0.4,58,1.13
200708,12291192569.42,48298125,12,17.2,14.1,3.5,52,1.32
200709,10574950679.5,41406517.86,17.5,14.2,16.1,3.2,49,1.39
200710,8858708789.58,34514910.71,22.3,21.2,21.7,6.3,47,1.39
200711,7142466899.66,27623303.57,22.6,80.7,22,10.4,41,1.39
200712,5426225009.74,20731696.43,23.5,84.6,22.7,11.5,37,1.32
200801,3709983119.82,13840089.29,25.5,55.6,26,12.6,37,1.45
200802,1993741229.9,6948482.14,20.6,63.2,22.1,11.2,40,1.26
200803,277499339.97,56875,19.3,38.2,23.4,8.6,42,1.13
200804,318884641.85,65357.14,14.2,20,17.9,3.9,46,1.07
200805,360269943.73,73839.29,11,9.6,16.7,0.7,54,0.88
200806,401655245.61,82321.43,7.6,27.6,13.3,4.2,60,1.2
200807,443040547.49,90803.57,8.8,48.4,11.7,-1.6,58,1.26
200808,484425849.37,99285.71,12,35.8,12.1,-0.8,52,1.32
200809,525811151.25,107767.86,17.9,46.4,17.3,3.6,49,1.45
200810,567196453.13,116250,22.1,29.4,21.2,5.5,47,1.45
200811,445218721.28,91250,23,98.6,21.7,8.8,41,1.7
200812,1316678329.56,343125,26.5,111.6,23.5,9.9,37,1.7
200901,2188137937.84,595000,30,39.6,29.5,11,37,1.57
200902,765410267.4,156875,21.5,7,25.6,12.9,40,1.7
200903,565163490.94,115833.33,18.4,11.4,25.1,9.9,42,1.39
200904,364916714.47,74791.67,12.5,60.6,18.3,7.4,46,1.26
200905,164669938.01,33750,9.7,10,15.5,3,54,1.13
200906,138749669.99,28437.5,7.2,26.1,12.6,2.5,60,1.01
200907,112829401.97,23125,9.5,34,12.2,1.1,58,1.2
200908,118928288.56,24375,12.6,60.7,15.3,1,52,1.32
200909,125027175.15,25625,16.6,87.4,17.6,3.8,49,1.51
200910,116641206.09,23906.25,18,73.4,17.3,6.4,47,1.45
200911,108255237.02,22187.5,23.3,29.6,26.5,10.1,41,1.51
200912,99869267.96,20468.75,27.4,80.4,26.4,10.6,37,1.51
201001,91483298.89,18750,28,20.4,28.7,13.2,37,1.64
201002,11342653518.99,46419375,20.4,227.2,25.1,13.8,40,1.45
201003,7133790884.01,32769375,16.9,80.6,22.7,10.7,42,1.07
201004,9729068280.44,38323303.57,14.4,28.4,20.5,6.1,46,0.88
201005,12324345676.87,43877232.14,10.1,87.2,16,2.4,54,0.76
201006,14919623073.3,49431160.71,8.6,26.8,12.5,1,60,0.88
201007,17514900469.73,54985089.29,8.5,71.4,11.8,-0.2,58,0.82
201008,20110177866.16,60539017.86,11.7,70,11.9,1.4,52,1.39
201009,22705455262.59,66092946.43,16.8,66.4,15.8,3.7,49,1.2
201010,25300732659.02,71646875,19.4,53.4,18,6.6,47,1.2
201011,26430526399.09,72906875,20.5,109,21.3,8.8,41,1.07
201012,51048384769.5,96048750,24.9,103.2,23.1,11,37,1.26
201101,43721160443.87,89314791.67,23.1,110.5,26.5,13.7,37,1.26
201102,36393936118.24,82580833.33,19.1,117.8,25.1,13.4,40,1.2
201103,29066711792.61,75846875,15.2,50.2,21.4,10.9,42,1.13
201104,26713611771.52,72132500,13.1,10,17.9,4.5,46,1.01
201105,24360511750.44,68418125,10.4,13,15.3,-0.2,54,0.94
201106,22007411729.36,64703750,8.1,13.8,12.5,1.1,60,1.2
201107,19654311708.27,60989375,8.4,30.8,11.6,-0.7,58,1.26
201108,17301211687.19,57275000,11.6,66.6,15.2,1.6,52,0.94
201109,14948111666.11,53560625,16.4,36.6,16.8,2.6,49,1.39
201110,20262012448.16,59349765.62,18.8,49.6,19.1,5.1,47,1.07
201111,25575913230.21,65138906.25,20.3,121.4,23.3,9.8,41,1.26
201112,30889814012.26,70928046.88,23.8,79.6,20.1,8.8,37,1.26
201201,36203714794.3,76717187.5,25.2,34.6,24.5,10.1,37,1.51
201202,41517615576.35,82506328.12,17.2,166.6,22.9,11.2,40,1.07
201203,46831516358.4,88295468.75,14.3,188.2,20.6,9.8,42,1.2
201204,52145417140.45,94084609.38,13,49,19.2,6,46,0.94
201205,57459317922.5,99873750,10.5,33.8,15.2,0.7,54,0.82
201206,55281446373.05,97788786.76,7.7,53.8,11.8,1.2,60,1.01
201207,53103574823.61,95703823.53,9.2,35.6,12.1,-0.9,58,0.94
201208,50925703274.17,93618860.29,12.7,37.2,13.2,-0.4,52,1.26
201209,48747831724.72,91533897.06,17.5,61.4,17.1,1.5,49,1.32
201210,46569960175.28,89448933.82,22.2,56.4,19.5,3.1,47,1.07
201211,44392088625.83,87363970.59,21.9,44.2,22.6,8.4,41,1.26
201212,42214217076.39,85279007.35,26,65.2,25,10.4,37,1.7
201301,40036345526.95,83194044.12,27.4,65.8,29.3,12.2,37,1.51
201302,37858473977.5,81109080.88,20.1,35.3,23.8,12,40,1.51
201303,35680602428.06,79024117.65,19.4,33.8,22.7,9.3,42,1.26
201304,33502730878.61,76939154.41,13.8,9.2,19.8,5.1,46,0.88
201305,31324859329.17,74854191.18,10.5,11,16.1,1.3,54,1.01
201306,29146987779.73,72769227.94,7.2,107.4,12.4,1.6,60,0.88
201307,26969116230.28,70684264.71,8.6,44.6,12.9,1.2,58,0.94
201308,24791244680.84,68599301.47,12.6,26.4,14.1,1.5,52,1.39
201309,22613373131.39,66514338.24,16.5,85.6,18.8,4.8,49,1.26
201310,20435501581.95,64429375,22.2,12.4,20.5,3.8,47,1.45
201311,10289412708.44,32229375,22.4,84.8,21.7,6.5,41,1.39
201312,143323834.93,29375,27.1,21.6,26.5,10.7,37,1.45
201401,224642322.84,46041.67,27.2,8.4,29.7,10.4,37,1.57
201402,305960810.74,62708.33,20.6,68.6,26.5,12.1,40,1.45
201403,387279298.64,79375,15.6,84.4,23,11.8,42,1.01
201404,1704883836.27,5650375,12.2,90.8,18.4,8.1,46,0.88
201405,3022488373.89,11221375,10.5,23.8,17,2.5,54,0.82
201406,4340092911.51,16792375,7.4,70.6,12.8,2.5,60,1.13
201407,5657697449.14,22363375,9.2,14.2,12.2,0.5,58,1.13
201408,6975301986.76,27934375,12.1,56.2,12.7,0.1,52,1.01
201409,8059054929.9,39915625,16.4,33.3,16.8,3.8,49,1.2
201410,6554638526.69,15101250,20.7,51,21.3,6,47,1.32
201411,6815030704.04,23045000,24,34,25.2,9.2,41,1.45
201412,7075422881.39,30988750,25.1,141.6,25.3,12.1,37,1.57
201501,6584181053.81,16002500,22.9,148.3,25.2,13,37,1.51
201502,3443037970.08,8032187.5,19.5,21,24.4,12,40,1.32
201503,301894886.35,61875,18.2,12.5,23.5,8.8,42,1.32
201504,7025003908.26,29450625,9.7,92.2,17.6,6.9,46,1.26
201505,8694413280.19,34861406.25,10.3,9.1,15.4,2.8,54,1.13
201506,10363822652.11,40272187.5,8.7,44.3,12.7,-1.3,60,0.69
201507,12033232024.04,45682968.75,8.8,37.6,11.3,-0.5,58,1.01
201508,13702641395.96,51093750,11.2,59.6,12.8,1,52,1.07
201509,7309094846.66,35210625,16.9,9.8,15.8,2.6,49,1.07
201510,6884441301.75,25162500,20.2,29,22.7,8.4,47,1.13
201511,6162841273.62,19134062.5,23.2,55.4,23.6,10.1,41,1.39
201512,5441241245.5,13105625,26.8,33.2,26.9,10,37,1.45
201601,4719641217.38,7077187.5,19.5,108.8,25.3,13.1,37,1.45
201602,3998041189.26,1048750,24.3,29,26.3,12.8,40,1.32
201603,335438762.61,68750,17.1,56.2,25.3,11.5,42,1.07
201604,5941241345.5,16033750,13.9,14.8,21.6,8.4,46,0.94
201605,8190915044.35,31998750,10.7,50,17.2,4.1,54,1.13
201606,14312645395.96,47963750,7.6,199.4,12.1,3.3,60,1.2
201607,25339089617.1,63928750,9.2,77.6,12.1,2.9,58,1.2
201608,35340002330.72,79893750,11.9,56,13.4,1.5,52,0.88
201609,55340915044.35,95858750,13.6,125.4,15.4,4.4,49,1.2
201610,81341827757.97,111823750,20.6,58.2,17.3,5.1,47,1.45
201611,112342740471.6,127788750,26.2,52.2,23,8.2,41,1.32
201612,99551315729.05,122895937.5,22.5,55.2,26.6,13,37,1.26
201701,93250762201.48,119654531.25,22.8,19.4,29.3,13.7,37,1.26
201702,86950208673.91,116413125,21,35,27.9,12.5,40,1.26
201703,48430587065.36,94486875,14.8,82.8,22.1,13.2,42,1.26
201704,36206940980.26,83810000,12.8,31.6,18.4,5.6,46,0.94
201705,41353446921.61,89395000,10.3,47,15.7,2,54,0.76
201706,41698888643.56,89702083.33,8.9,1,13,-0.6,60,0.63
201707,42044330365.5,90009166.67,9.8,15,12.7,-2,58,0.94
201708,42389772087.45,90316250,12.7,58.6,13.1,0.5,52,1.2
201709,34112675500.76,81474375,18,20.6,18,2.4,49,1.57
201710,33762977438.36,81084375,20.9,38.4,21.7,6.7,47,1.26
201711,35857803331.42,83420625,23.1,69.4,21.9,8,41,1.2
201712,22389745632.36,67762500,22.8,81.6,26.3,13.2,37,1.13
201801,16838050873.71,50831250,23.1,46.2,29.4,13.3,37,1.39
201802,11286356115.07,33900000,21.7,79.3,25.9,12.1,40,1.45
201803,5734661356.43,16968750,18.3,12.2,23.4,10.1,42,1.39
201804,182966597.78,37500,14.2,20.7,23.3,9.1,46,1.01
201805,146373278.23,30000,10.6,15.2,17.3,2.2,54,1.07
201806,127640983.69,26160.71,8.4,40.7,12.1,1.9,60,1.07
201807,108908689.16,22321.43,10.8,11.4,13.4,-0.8,58,1.26
201808,90176394.62,18482.14,12.2,34.2,13.4,1.4,52,1.45
201809,71444100.09,14642.86,17.4,27.1,16.9,2,49,1.32
201810,52711805.55,10803.57,19.3,34.2,19.8,7.4,47,1.39
201811,33979511.02,6964.29,20.9,53.6,22.1,9.5,41,1.64
201812,15247216.48,3125,24.5,111.8,26.8,12.3,37,1.32
